Nr;Zuwendungsempfänger;Projektbezeichnung;Fördersumme nach Jahr und Gesamt;Gesamtförder- zeitraum;Programmbereich
465;Stadt Bramsche;Stadt Bramsche;2023: 112.500,00 € 2024: 112.500,00 € Gesamt: 225.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
466;Stadt Braunschweig;Stadt Braunschweig;2023: 112.500,00 € 2024: 112.500,00 € Gesamt: 225.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
467;Stadt Bremerhaven;Bremerhaven;2023: 125.000,00 € 2024: 125.000,00 € Gesamt: 250.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
468;Stadt Büdingen;Östliche Wetterau, in diesem Falle Büdingen und Altenstadt (Zusammenschluss von Gebietskörperschaften);2023: 125.000,00 € 2024: 125.000,00 € Gesamt: 250.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
469;Stadt Burg;Stadt Burg und südliches Jerichower Land;2023: 144.000,00 € 2024: 149.000,00 € Gesamt: 293.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
470;Stadt Butzbach;Stadt Butzbach;2023: 125.000,00 € 2024: 125.000,00 € Gesamt: 250.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
471;Stadt Calbe (Saale);Calbe, Barby, Bördeland;2023: 150.000,00 € 2024: 150.000,00 € Gesamt: 300.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
472;Stadt Celle;Stadt Celle;2023: 160.000,00 € 2024: 160.000,00 € Gesamt: 320.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
473;Stadt Chemnitz;Stadt Chemnitz;2023: 170.000,00 € 2024: 160.000,00 € Gesamt: 330.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
474;Stadt Coburg;Stadt Coburg;2023: 144.000,00 € 2024: 144.000,00 € Gesamt: 288.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
475;Stadt Coswig;Coswig und kommunale Partner;2023: 125.000,00 € 2024: 125.000,00 € Gesamt: 250.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
476;Stadt Cottbus;Kreisfreie Stadt Cottbus;2023: 125.000,00 € 2024: 144.000,00 € Gesamt: 269.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
477;Stadt Cuxhaven;Stadt Cuxhaven;2023: 160.000,00 € 2024: 160.000,00 € Gesamt: 320.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
478;Stadt Deggendorf;Stadt Deggendorf;2023: 125.000,00 € 2024: 125.000,00 € Gesamt: 250.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
479;Stadt Delmenhorst;Stadt Delmenhorst;2023: 160.000,00 € 2024: 160.000,00 € Gesamt: 320.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
480;Stadt Dessau-Roßlau;Kreisfreie Stadt Dessau-Roßlau;2023: 144.000,00 € 2024: 144.000,00 € Gesamt: 288.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
481;Stadt Dinslaken;Dinslaken;2023: 112.500,00 € 2024: 112.500,00 € Gesamt: 225.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
482;Stadt Dortmund;Stadt Dortmund;2023: 142.000,00 € 2024: 142.000,00 € Gesamt: 284.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
483;Stadt Duisburg;Kreisfreie Stadt Duisburg;2023: 160.000,00 € 2024: 160.000,00 € Gesamt: 320.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
484;Stadt Emden;Stadt Emden;2023: 125.000,00 € 2024: 125.000,00 € Gesamt: 250.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
485;Stadt Erlangen;Stadt Erlangen;2023: 120.000,00 € 2024: 170.000,00 € Gesamt: 290.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
486;Stadt Erlensee und Gemeinde Rodenbach im kommunalen Zusammenschluss;Erlensee und Rodenbach, Vernetzungen bei aktuellen Handlungsbedarf bzw. zu einzelnen demokratiefeindlichen Einzelphänomenen auch im Main-Kinzig- Kreis;2023: 145.000,00 € 2024: 145.000,00 € Gesamt: 290.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
487;Stadt Essen;Stadt Essen;2023: 210.000,00 € 2024: 210.000,00 € Gesamt: 420.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
488;Stadt Falkensee;Stadt Falkensee;2023: 160.000,00 € 2024: 160.000,00 € Gesamt: 320.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
489;Stadt Florstadt;Mittlere Wetterau;2023: 125.000,00 € 2024: 125.000,00 € Gesamt: 250.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
490;Stadt Forst;Stadt Forst;2023: 160.000,00 € 2024: 160.000,00 € Gesamt: 320.000,00 €;01.06.2021 - 31.12.2024;Partnerschaften für Demokratie
491;Stadt Frankfurt (Oder);Stadt Frankfurt/Oder;2023: 160.000,00 € 2024: 160.000,00 € Gesamt: 320.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
492;Stadt Frankfurt am Main;Stadt Frankfurt am Main;2023: 125.000,00 € 2024: 0,00 € Gesamt: 125.000,00 €;01.01.2020 - 31.12.2023;Partnerschaften für Demokratie
493;Stadt Freiburg im Breisgau;Stadt Freiburg;2023: 210.000,00 € 2024: 205.000,00 € Gesamt: 415.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
494;Stadt Friedrichshafen - Amt für Soziales, Familie und Jugend;Stadtgebiet Friedrichshafen;2023: 160.000,00 € 2024: 160.000,00 € Gesamt: 320.000,00 €;01.06.2021 - 31.12.2024;Partnerschaften für Demokratie
495;Stadt Fulda;Stadt Fulda;2023: 108.000,00 € 2024: 108.000,00 € Gesamt: 216.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
496;Stadt Fürstenwalde/Spree;Stadt Fürstenwalde/Spree und Amt Odervorland;2023: 125.000,00 € 2024: 125.000,00 € Gesamt: 250.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
497;Stadt Fürth;Stadt Fürth;2023: 120.000,00 € 2024: 120.000,00 € Gesamt: 240.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
498;Stadt Genthin;Genthin, Einheitsgemeinde Jerichow und Elbe-Parey;2023: 125.000,00 € 2024: 125.000,00 € Gesamt: 250.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
499;Stadt Gera;Stadt Gera;2023: 155.000,00 € 2024: 155.000,00 € Gesamt: 310.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
500;Stadt Gevelsberg;Stadt Gevelsberg;2023: 120.000,00 € 2024: 120.000,00 € Gesamt: 240.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
501;Stadt Göppingen;Stadt Göppingen;2023: 138.319,20 € 2024: 138.319,20 € Gesamt: 276.638,40 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
502;Stadt Görlitz;Stadtgebiet Görlitz mit Eingemeindungen;2023: 160.000,00 € 2024: 160.000,00 € Gesamt: 320.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
503;Stadt Göttingen;Stadt Göttingen;2023: 125.000,00 € 2024: 125.000,00 € Gesamt: 250.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
504;Stadt Greiz;Stadt und Landkreis Greiz;2023: 210.000,00 € 2024: 210.000,00 € Gesamt: 420.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
505;Stadt Hagen;Stadt Hagen;2023: 125.000,00 € 2024: 125.000,00 € Gesamt: 250.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
506;Stadt Halle (Saale);Stadt Halle (Saale);2023: 210.000,00 € 2024: 223.500,00 € Gesamt: 433.500,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
507;Stadt Hamm;Stadt Hamm;2023: 144.000,00 € 2024: 144.000,00 € Gesamt: 288.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
508;Stadt Hanau;Stadt Hanau;2023: 225.000,00 € 2024: 160.000,00 € Gesamt: 385.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
509;Stadt Hattingen;Stadt Hattingen;2023: 90.000,00 € 2024: 90.000,00 € Gesamt: 180.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
510;Stadt Heidelberg;Stadt Heidelberg;2023: 160.000,00 € 2024: 160.000,00 € Gesamt: 320.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
511;Stadt Heilbronn;Stadt Heilbronn;2023: 126.000,00 € 2024: 126.000,00 € Gesamt: 252.000,00 €;01.04.2023 - 31.12.2024;Partnerschaften für Demokratie
512;Stadt Herne;Herne;2023: 160.000,00 € 2024: 160.000,00 € Gesamt: 320.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
513;Stadt Herten;Stadt Herten;2023: 144.000,00 € 2024: 144.000,00 € Gesamt: 288.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
514;Stadt Heusenstamm;Stadt Heusenstamm;2023: 125.000,00 € 2024: 125.000,00 € Gesamt: 250.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
515;Stadt Hof;Stadt Hof;2023: 135.000,00 € 2024: 135.000,00 € Gesamt: 270.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
516;Stadt Hoyerswerda;Stadt Hoyerswerda;2023: 125.000,00 € 2024: 125.000,00 € Gesamt: 250.000,00 €;01.10.2022- 31.12.2024;Partnerschaften für Demokratie
517;Stadt Ingelheim am Rhein;Stadt Ingelheim am Rhein;2023: 160.000,00 € 2024: 160.000,00 € Gesamt: 320.000,00 €;01.07.2021 - 31.12.2024;Partnerschaften für Demokratie
518;Stadt Jena;Stadt Jena;2023: 160.000,00 € 2024: 160.000,00 € Gesamt: 320.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
519;Stadt Karlsruhe;Stadt Karlsruhe;2023: 160.000,00 € 2024: 160.000,00 € Gesamt: 320.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
520;Stadt Kaufbeuren;Stadt Kaufbeuren;2023: 125.000,00 € 2024: 125.000,00 € Gesamt: 250.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
521;Stadt Kempten;Stadt Kempten;2023: 160.000,00 € 2024: 160.000,00 € Gesamt: 320.000,00 €;01.06.2021 - 31.12.2024;Partnerschaften für Demokratie
522;Stadt Kirchheim unter Teck;Stadt Kirchheim unter Teck;2023: 81.000,00 € 2024: 81.000,00 € Gesamt: 162.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
523;Stadt Koblenz;Stadt Koblenz;2023: 125.000,00 € 2024: 125.000,00 € Gesamt: 250.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
524;Stadt Köln;Stadt Köln Nord/Ost mit den Stadtbezirken Chorweiler, Kalk, Mülheim;2023: 125.000,00 € 2024: 125.000,00 € Gesamt: 250.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
525;Stadt Köln;Stadt Köln Mitte/West mit den Stadtbezirken Innenstadt, Ehrenfeld, Nippes;2023: 125.000,00 € 2024: 125.000,00 € Gesamt: 250.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
526;Stadt Köln;Stadt Köln Süd/West mit den Stadtbezirken Rodenkirchen, Lindenthal, Porz;2023: 125.000,00 € 2024: 125.000,00 € Gesamt: 250.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
527;Stadt Köthen;Stadt Köthen;2023: 108.500,00 € 2024: 108.500,00 € Gesamt: 217.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
528;Stadt Laatzen;Stadt Laatzen;2023: 160.000,00 € 2024: 160.000,00 € Gesamt: 320.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
529;Stadt Lampertheim;Stadt Lampertheim;2023: 160.000,00 € 2024: 160.000,00 € Gesamt: 320.000,00 €;01.01.2022 - 31.12.2024;Partnerschaften für Demokratie
530;Stadt Langen;Stadt Langen;2023: 125.000,00 € 2024: 125.000,00 € Gesamt: 250.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
531;Stadt Lauenburg/Elbe;Stadt Lauenburg/Elbe, Amt Lütau und Amt Büchen;2023: 125.000,00 € 2024: 125.000,00 € Gesamt: 250.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
532;Stadt Leipzig;Stadt Leipzig;2023: 160.000,00 € 2024: 160.000,00 € Gesamt: 320.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
533;Stadt Limbach-Oberfrohna;Stadt Limbach-Oberfrohna;2023: 160.000,00 € 2024: 160.000,00 € Gesamt: 320.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
534;Stadt Limburg a. d. Lahn;Limburg an der Lahn;2023: 140.000,00 € 2024: 125.000,00 € Gesamt: 265.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
535;Stadt Mannheim;Stadt Mannheim (kreisfreie Stadt);2023: 160.000,00 € 2024: 160.000,00 € Gesamt: 320.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
536;Stadt Meerane;Partnerschaft für Demokratie Stadt Meerane;2023: 125.000,00 € 2024: 125.000,00 € Gesamt: 250.000,00 €;01.08.2021 - 31.12.2024;Partnerschaften für Demokratie
537;Stadt Meißen;Stadt Meißen;2023: 126.000,00 € 2024: 126.000,00 € Gesamt: 252.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
538;Stadt Merseburg;Stadt Merseburg;2023: 131.300,00 € 2024: 135.000,00 € Gesamt: 266.300,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
539;Stadt Minden;Stadt Minden;2023: 125.000,00 € 2024: 125.000,00 € Gesamt: 250.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
540;Stadt Moers;Stadt Moers;2023: 160.000,00 € 2024: 160.000,00 € Gesamt: 320.000,00 €;01.02.2023 - 31.12.2024;Partnerschaften für Demokratie
541;Stadt Mönchengladbach, Fachbereich Kinder, Jugend und Familie;Stadt Mönchengladbach;2023: 124.200,00 € 2024: 124.200,00 € Gesamt: 248.400,00 €;01.10.2022- 31.12.2024;Partnerschaften für Demokratie
542;Stadt Mörfelden-Walldorf;Stadt Mörfelden-Walldorf;2023: 125.000,00 € 2024: 125.000,00 € Gesamt: 250.000,00 €;01.10.2022- 31.12.2024;Partnerschaften für Demokratie
543;Stadt Mülheim an der Ruhr;Mülheim an der Ruhr;2023: 124.200,00 € 2024: 124.200,00 € Gesamt: 248.400,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
544;Stadt Murrhardt;Obere Murrtal ('Sozialraum 4' im Kreisverband Rems-Murr) Murrhardt, Großerlach, Sulzbach/ Murr, Spiegelberg und Oppenweiler;2023: 160.000,00 € 2024: 160.000,00 € Gesamt: 320.000,00 €;01.02.2023 - 31.12.2024;Partnerschaften für Demokratie
545;Stadt Neubrandenburg;Stadtgebiet Neubrandenburg;2023: 210.000,00 € 2024: 210.000,00 € Gesamt: 420.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
546;Stadt Neu-Isenburg;Stadt Neu-Isenburg;2023: 125.000,00 € 2024: 125.000,00 € Gesamt: 250.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
547;Stadt Neumünster;Stadt Neumünster;2023: 125.000,00 € 2024: 125.000,00 € Gesamt: 250.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
548;Stadt Neustadt in Holstein;Schuleinzugsbereich Neustadt in Holstein;2023: 109.800,00 € 2024: 109.800,00 € Gesamt: 219.600,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
549;Stadt Neustrelitz;Stadt Neustrelitz;2023: 123.950,00 € 2024: 124.000,00 € Gesamt: 247.950,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
550;Stadt Nidda;Stadt Nidda;2023: 108.000,00 € 2024: 108.000,00 € Gesamt: 216.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
551;Stadt Northeim;Stadt Northeim;2023: 90.000,00 € 2024: 90.000,00 € Gesamt: 180.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
552;Stadt Nürnberg;Nürnberg Stadt;2023: 191.930,00 € 2024: 124.200,00 € Gesamt: 316.130,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
553;Stadt Oberhausen;Stadt Oberhausen;2023: 160.000,00 € 2024: 160.000,00 € Gesamt: 320.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
554;Stadt Offenbach;Stadt Offenbach;2023: 125.000,00 € 2024: 125.000,00 € Gesamt: 250.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
555;Stadt Olbernhau;Olbernhau und Umlandgemeinden;2023: 150.000,00 € 2024: 150.000,00 € Gesamt: 300.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
556;Stadt Oldenburg;Stadt Oldenburg;2023: 125.000,00 € 2024: 125.000,00 € Gesamt: 250.000,00 €;15.05.2021 - 31.12.2024;Partnerschaften für Demokratie
557;Stadt Ostfildern;Stadt Ostfildern;2023: 121.500,00 € 2024: 124.200,00 € Gesamt: 245.700,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
558;Stadt Pasewalk;Stadt Pasewalk und Amt Uecker-Randow Tal;2023: 110.700,00 € 2024: 110.700,00 € Gesamt: 221.400,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
559;Stadt Pfungstadt;Stadt Pfungstadt;2023: 125.000,00 € 2024: 145.000,00 € Gesamt: 270.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
560;Stadt Pinneberg;Stadt Pinneberg;2023: 125.000,00 € 2024: 125.000,00 € Gesamt: 250.000,00 €;01.08.2022 - 31.12.2024;Partnerschaften für Demokratie
561;Stadt Pirmasens;Stadtbezirk Pirmasens;2023: 160.000,00 € 2024: 160.000,00 € Gesamt: 320.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
562;Stadt Quedlinburg;Welterbestadt Quedlinburg, Stadt Gernrode und Bad Suderode;2023: 125.000,00 € 2024: 125.000,00 € Gesamt: 250.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
563;Stadt Radolfzell;Stadt Radolfzell am Bodensee;2023: 90.000,00 € 2024: 90.000,00 € Gesamt: 180.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
564;Stadt Rathenow;Stadt Rathenow, Stadt Premnitz, Stadt Nauen, Gemeinde Milower Land, Amt Rhinow, Amt Friesack;2023: 160.000,00 € 2024: 160.000,00 € Gesamt: 320.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
565;Stadt Ratzeburg;Stadt Ratzeburg und Amt Lauenburgische Seen;2023: 125.100,00 € 2024: 125.100,00 € Gesamt: 250.200,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
566;Stadt Ravensburg;Stadt Ravensburg;2023: 160.000,00 € 2024: 160.000,00 € Gesamt: 320.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
567;Stadt Regensburg;Gesamtstadt Regensburg;2023: 126.000,00 € 2024: 111.600,00 € Gesamt: 237.600,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
568;Stadt Remagen;Stadt Remagen;2023: 99.000,00 € 2024: 99.000,00 € Gesamt: 198.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
569;Stadt Reutlingen;Stadt Reutlingen;2023: 112.500,00 € 2024: 112.500,00 € Gesamt: 225.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
570;Stadt Rheda-Wiedenbrück;Stadt Rheda-Wiedenbrück;2023: 125.000,00 € 2024: 125.000,00 € Gesamt: 250.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
571;Stadt Riesa;Riesa und Kommunale Partner;2023: 125.000,00 € 2024: 145.000,00 € Gesamt: 270.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
572;Stadt Runkel & Marktflecken Villmar als kommunaler Zusammenschluss;Stadt Runkel Marktflecken Villmar;2023: 108.000,00 € 2024: 108.000,00 € Gesamt: 216.000,00 €;15.05.2021 - 31.12.2024;Partnerschaften für Demokratie
573;Stadt Sankt Augustin;Stadt Sankt Augustin;2023: 49.500,00 € 2024: 40.500,00 € Gesamt: 90.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
574;Stadt Schloß Holte-Stukenbrock;Stadt Schloß Holte-Stukenbrock;2023: 125.000,00 € 2024: 125.000,00 € Gesamt: 250.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
575;Stadt Schönebeck (Elbe);Stadt Schönebeck (Elbe);2023: 123.750,00 € 2024: 123.750,00 € Gesamt: 247.500,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
576;Stadt Schotten;Stadt Schotten und Stadt Laubach;2023: 108.000,00 € 2024: 108.000,00 € Gesamt: 216.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
577;Stadt Siegen;Stadt Siegen;2023: 90.000,00 € 2024: 90.000,00 € Gesamt: 180.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
578;Stadt Sindelfingen;Stadt Sindelfingen;2023: 90.000,00 € 2024: 90.000,00 € Gesamt: 180.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
579;Stadt Singen;Stadt Singen mit Ortsteilen;2023: 175.000,00 € 2024: 175.000,00 € Gesamt: 350.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
580;Stadt Spremberg;Stadt Spremberg;2023: 125.000,00 € 2024: 160.000,00 € Gesamt: 285.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
581;Stadt Staufenberg;Teilraum Nord des Landkreises Gießen;2023: 125.000,00 € 2024: 125.000,00 € Gesamt: 250.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
582;Stadt Storkow;Storkow (Mark) und Amt Scharmützelsee;2023: 160.000,00 € 2024: 160.000,00 € Gesamt: 320.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
583;Stadt Straubing;Stadt Straubing;2023: 160.000,00 € 2024: 160.000,00 € Gesamt: 320.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
584;Stadt Suhl;Stadt Suhl;2023: 145.000,00 € 2024: 155.000,00 € Gesamt: 300.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
585;Stadt Thalheim;Stadt Thalheim;2023: 125.000,00 € 2024: 125.000,00 € Gesamt: 250.000,00 €;01.01.2023- 31.12.2024;Partnerschaften für Demokratie
586;Stadt Trier;Stadt Trier;2023: 140.000,00 € 2024: 140.000,00 € Gesamt: 280.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
587;Stadt Ulm;Stadt Ulm, Wiblingen;2023: 125.000,00 € 2024: 125.000,00 € Gesamt: 250.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
588;Stadt Usedom c/o Amt Usedom- Süd;Amt Usedom-Süd im Landkreis Vorpommern-Greifswald;2023: 125.000,00 € 2024: 125.000,00 € Gesamt: 250.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
589;Stadt Vechta;Stadt Vechta;2023: 125.000,00 € 2024: 125.000,00 € Gesamt: 250.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
590;Stadt Verden (Aller);Landkreise Nienburg/Weser und Verden;2023: 160.000,00 € 2024: 158.000,00 € Gesamt: 318.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
591;Stadt Waltrop;Stadt Waltrop;2023: 90.000,00 € 2024: 90.000,00 € Gesamt: 180.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
592;Stadt Waren (Müritz);Stadt Waren (Müritz);2023: 122.400,00 € 2024: 124.200,00 € Gesamt: 246.600,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
593;Stadt Weiden i. d. OPf.;Weiden i. d. Opf.;2023: 150.000,00 € 2024: 150.000,00 € Gesamt: 300.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
594;Stadt Weil der Stadt;Stadt Weil der Stadt;2023: 90.000,00 € 2024: 90.000,00 € Gesamt: 180.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
595;Stadt Weimar;Stadt Weimar;2023: 160.000,00 € 2024: 160.000,00 € Gesamt: 320.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
596;Stadt Weingarten;Stadt Weingarten;2023: 119.250,00 € 2024: 119.250,00 € Gesamt: 238.500,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
597;Stadt Wiesloch;Große Kreisstadt Wiesloch mit Ortsteilen;2023: 125.000,00 € 2024: 125.000,00 € Gesamt: 250.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
598;Stadt Witten;Stadt Witten;2023: 160.000,00 € 2024: 160.000,00 € Gesamt: 320.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
599;Stadt Wittenberge;Regionaler Wachstumskern Prignitz und Umlandgemeinden;2023: 160.000,00 € 2024: 160.000,00 € Gesamt: 320.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
600;Stadt Wolfsburg;Stadt Wolfsburg;2023: 125.000,00 € 2024: 125.000,00 € Gesamt: 250.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
601;Stadt Wolgast;Stadt Wolgast / Amt am Peenestrom;2023: 140.000,00 € 2024: 140.000,00 € Gesamt: 280.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
602;Stadt Worms;Stadt Worms;2023: 90.000,00 € 2024: 90.000,00 € Gesamt: 180.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
603;Stadt Wörth am Rhein;Stadt Wörth am Rhein;2023: 160.000,00 € 2024: 160.000,00 € Gesamt: 320.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
604;Stadt Wuppertal;Wuppertal;2023: 125.000,00 € 2024: 125.000,00 € Gesamt: 250.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
605;Stadt Würzburg;Stadt Würzburg;2023: 178.000,00 € 2024: 160.000,00 € Gesamt: 338.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
606;Stadt Zweibrücken;Stadt Zweibrücken;2023: 125.000,00 € 2024: 125.000,00 € Gesamt: 250.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
607;Stadt Zwickau;Stadt Zwickau;2023: 160.000,00 € 2024: 160.000,00 € Gesamt: 320.000,00 €;01.01.2020 - 31.12.2024;Partnerschaften für Demokratie
